id,gender_numeric,age
muri015,1.0,19.0
muri016 ,1.0,18.0
muri018,1.0,19.0
muri023,1.0,21.0
muri028,1.0,19.0
muri042,1.0,21.0
muri043,1.0,19.0
muri077,1.0,21.0
muri080,1.0,21.0
muri082,1.0,22.0
muri085,2.0,21.0
muri087,2.0,19.0
muri101 ,2.0,21.0
muri104,2.0,20.0
muri146,2.0,21.0
muri147,2.0,19.0
muri151,2.0,20.0
muri190,2.0,20.0
muri213,2.0,21.0
muri230,2.0,20.0
muri240,2.0,21.0
muri245,2.0,19.0
muri249,2.0,21.0
muri275,2.0,18.0
muri308,2.0,21.0
muri318,2.0,18.0
muri321,2.0,21.0
muri326,2.0,21.0
muri330,2.0,21.0
muri340,2.0,21.0
muri341,2.0,21.0
muri344,2.0,19.0
muri354,2.0,22.0
muri359,2.0,18.0
muri371,2.0,21.0
muri374,2.0,20.0
muri379,1.0,22.0
muri387,1.0,22.0
muri388,2.0,21.0
muri398,1.0,20.0
muri406,2.0,19.0
muri410,2.0,19.0
muri417,2.0,21.0
muri432,2.0,20.0
muri436,2.0,19.0
muri437,2.0,20.0
muri442,1.0,20.0
muri449,2.0,21.0
muri451,2.0,18.0
muri462,2.0,19.0
muri463,2.0,20.0
muri464,2.0,21.0
muri466,1.0,20.0
muri478,2.0,19.0
muri482,2.0,19.0
muri493,2.0,20.0
muri499,2.0,19.0
muri501,1.0,21.0
muri507,2.0,20.0
muri510,2.0,20.0
muri520,2.0,19.0
muri521,2.0,20.0
muri526,2.0,21.0
muri528,1.0,21.0
muri529,2.0,21.0
muri532,2.0,22.0
muri545,2.0,21.0
muri548,1.0,22.0
muri552,2.0,25.0
muri554,2.0,19.0
muri555,2.0,19.0
muri560,2.0,21.0
muri562,2.0,20.0
muri570,2.0,21.0
muri577,2.0,22.0
muri579,2.0,21.0
muri581,2.0,21.0
muri583,2.0,20.0
muri584,2.0,21.0
muri586,2.0,19.0
muri587,2.0,21.0
muri590,2.0,19.0
muri596,2.0,20.0
muri603,2.0,21.0
muri605,2.0,21.0
muri610,1.0,19.0
muri612,2.0,20.0
muri616,2.0,20.0
muri620,2.0,19.0
muri622,2.0,21.0
muri623,2.0,22.0
muri624,2.0,20.0
muri627,2.0,22.0
muri628,2.0,22.0
muri674,1.0,20.0
muri683,1.0,21.0
muric206,2.0,18.0
muric217,2.0,19.0
muric220,1.0,19.0
muric221,2.0,18.0
muric237,2.0,22.0
muric255,1.0,20.0
muric266,2.0,21.0
muric270,2.0,20.0
muric275,2.0,20.0
muric279,2.0,20.0
muric289,2.0,18.0
muric294,2.0,20.0
muric298,2.0,22.0
muric299,2.0,20.0
muric314,2.0,20.0
muric326,2.0,21.0
muric341,2.0,19.0
muric349,2.0,19.0
muric366,2.0,21.0
muric377,2.0,21.0
muric395,1.0,24.0
muric399,1.0,19.0
muric422,2.0,20.0
muric433,2.0,20.0
muric436,2.0,20.0
muric450,1.0,20.0
muric451,1.0,19.0
muric454,1.0,21.0
muric468,2.0,21.0
muric470_original,2.0,20.0
muric484,2.0,19.0
muric491,1.0,18.0
muric496,2.0,19.0
muric498,2.0,18.0
muric505,2.0,18.0
muric506,2.0,18.0
muric507,1.0,21.0
muric525,2.0,18.0
muric527,2.0,22.0
muric531,2.0,19.0
muric539,1.0,19.0
muric553,2.0,18.0
