,id
0,muri012
1,muri017
2,muri034
3,muri041
4,muri063
5,muri078
6,muri086
7,muri088
8,muri091
9,muri092
10,muri096
11,muri098
12,muri101
13,muri117
14,muri163
15,muri173
16,muri186
18,muri201
19,muri369
20,muri373
21,muri389
22,muri393
23,muri396
24,muri400
25,muri404
26,muri405
27,muri408
28,muri531
29,muri542
30,muric202
31,muric205
32,muric208
33,muric210
34,muric212
35,muric213
36,muric219
37,muric224
38,muric230
39,muric232
40,muric233
41,muric234
42,muric241
43,muric242
44,muric243
45,muric244
46,muric245
47,muric246
48,muric247
49,muric249
50,muric250
51,muric251
52,muric254
53,muric301
54,muric312
55,muric321
56,muric325
57,muric328
58,muric354
60,muric375
61,muric419
62,muric424
63,muric429
64,muric430
65,muric431
66,muric432
67,muric434
68,muric435
